no,org_name,logo,cat,minis,y,diff_90,diff_00,diff_01,diff_14,diff_19,diff_20,diff_34,diff_49,diff_57,90_b4_mili,90_b4_total,94_aft_mili,94_aft_total,00_b4_mili,00_b4_total,00_aft_mili,00_aft_total,01_b4_mili,01_b4_total,01_aft_mili,01_aft_total,14_b4_mili,14_b4_total,14_aft_mili,14_aft_total,19_b4_mili,19_b4_total,19_aft_mili,19_aft_total,20_b4_mili,20_b4_total,20_aft_mili,20_aft_total,34_b4_mili,34_b4_total,34_aft_mili,34_aft_total,49_b4_mili,49_b4_total,49_aft_mili,49_aft_total,57_b4_mili,57_b4_total,57_aft_mili,57_aft_total
30,บริษัท ​ธนารักษ์พัฒนาสินทรัพย์ จำกัด,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/904.jpg,สาธารณูปการ,กระทรวงการคลัง,2547,na,na,na,na,na,na,na,na,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9
31,บริษัท ปตท. จำกัด (มหาชน),http://www.sepo.go.th/images/l1.jpg,พลังงาน,กระทรวงพลังงาน,2521,na,na,na,na,na,na,-3.33%,5.64%,15.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,6,1,13,2,15,0,15,2,13
32,บริษัท ไปรษณีย์ไทย จำกัด,http://www.sepo.go.th/images/l16.jpg,สื่อสาร,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,2519,na,na,na,na,na,22.22%,25.00%,20.00%,11.11%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,9,1,8,3,8,1,10,3,10,0,11,1,9
34,บริษัท อสมท จำกัด (มหาชน),http://www.sepo.go.th/images/l15.jpg,สื่อสาร,สำนักนายกรัฐมนตรี,2520,na,na,na,na,na,na,-22.22%,0.00%,0.55%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,6,0,12,0,10,1,14,1,13
37,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,http://www.sepo.go.th/images/l7.jpg,สื่อสาร,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,2519,na,na,na,na,na,na,na,na,8.08%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,4,9
40,สถาบันการบินพลเรือน,http://www.sepo.go.th/images/l6.jpg,ขนส่ง,กระทรวงคมนาคม,2535,na,na,na,na,na,na,na,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,2,3,2,3
41,สถาบันวิจัยวิทยาศาสตร์และเทคโนโลยีแห่งประเทศไทย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/501.jpg,สังคมและเทคโนโลยี,กระทรวงวิทยาศาสตร์และเทคโนโลยี,2506,na,na,na,0.00%,0.00%,na,na,na,10.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,10
43,สำนักงานสลากกินแบ่งรัฐบาล,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/aq3.jpg,อุตสาหกรรมและพาณิชยกรรม,กระทรวงการคลัง,2517,na,na,na,na,0.00%,0.00%,0.00%,0.00%,16.67%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3,1,3,0,3,0,3,0,2,0,2,1,3,2,4
44,องค์การขนส่งมวลชนกรุงเทพ,http://www.sepo.go.th/images/l5.jpg,ขนส่ง,กระทรวงคมนาคม,2519,na,na,na,na,12.50%,9.72%,10.00%,0.00%,14.29%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,8,1,8,2,9,0,10,1,10,1,10,1,10,0,7,1,7
45,องค์การคลังสินค้า,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/pwo_t1.jpg,เกษตร,กระทรวงพาณิชย์,2498,na,0.00%,0.00%,0.00%,-12.50%,0.00%,0.00%,-2.38%,20.00%,0,0,0,0,0,8,0,8,0,8,0,8,0,8,0,10,1,8,0,9,0,9,0,9,0,9,0,7,1,6,1,7,0,7,1,5
